iso3,indicator,survey_id,survey_mid_calendar_quarter,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,0,all,all,all,female,Y015_049,613,2106,1033.7539429369358,0.30017226150712306,0.01464863636550558,0.2722670098937477,0.3296420546275992
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,1,all,all,all,female,Y015_049,335,596,317.1855040827169,0.18371787891471375,0.01909645297006857,0.14919378943407666,0.224126457115071
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,0,all,all,female,Y015_049,574,2087,1059.0234685280952,0.27900379643138296,0.01514117676842077,0.25031497151988913,0.30962269575366397
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,1,all,all,female,Y015_049,376,615,294.85859044015234,0.26959980923220606,0.02379717971440836,0.22556686635073045,0.3186911758364376
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,0,all,female,Y015_049,514,1223,605.7409595854997,0.2358691443139867,0.01619053137356799,0.2056210379442784,0.269059804007025
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,1,all,female,Y015_049,527,1479,737.9218456242294,0.3114831890859537,0.01685133470710814,0.27944851411172955,0.34542968023382337
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,0,female,Y015_049,633,2690,1335.577803630389,0.2748080553473434,0.01278132288565637,0.25047786644636033,0.3005538840786813
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,1,female,Y015_049,10,12,8.708955368063515,0.7172048333831516,0.14976062706659243,0.37365509591026375,0.9151222201283516
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,all,female,Y015_049,633,2702,1343.073883474108,0.2766075348943588,0.01310862441350621,0.2516648128977044,0.3030213333118649
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,0,all,all,all,female,Y015_024,337,598,288.88498187768243,0.15005438824984854,0.02180742366086432,0.1121163029288737,0.19796768687261876
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,1,all,all,all,female,Y015_024,235,332,175.83909841833116,0.05402126468115577,0.01360350536450762,0.03278084569357339,0.08777548181511356
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,0,all,all,female,Y015_024,400,864,438.50712506311214,0.10657923155740884,0.01369742453609064,0.08255634919509966,0.13655203370909785
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,1,all,all,female,Y015_024,59,66,30.7781573427791,0.22150748511861215,0.08151844354974684,0.10124779029773572,0.41815072006171206
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,0,all,female,Y015_024,279,409,203.9867350454851,0.1083399734027904,0.02346874671189389,0.07017739874645375,0.1636039104809882
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,1,all,female,Y015_024,306,521,256.9420294437504,0.12565284924883177,0.01802653637541565,0.09435819507439444,0.1654307056456883
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,0,female,Y015_024,421,919,453.730634030411,0.11101904577616356,0.01527195896530032,0.08442718800172333,0.14466312029948872
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,1,female,Y015_024,9,11,8.119539223363601,0.7048650093026915,0.159985513229063,0.3459850016628734,0.9151250542243268
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,all,female,Y015_024,422,930,460.9183696092314,0.11795009744401262,0.01569172682003492,0.09049526991378476,0.15233914256477282
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,0,all,all,all,female,Y025_049,584,1508,744.8719199220213,0.35817346520191123,0.01774786289586554,0.3241825864499722,0.3936523645478563
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,1,all,all,all,female,Y025_049,205,264,141.3555278755962,0.34332348091562354,0.03861248485380451,0.2720602230720154,0.42242118821745656
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,0,all,all,female,Y025_049,521,1223,620.9623938449657,0.39577784422269807,0.0203997929196721,0.35656950542176374,0.436373580128509
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,1,all,all,female,Y025_049,357,549,266.23175828451235,0.27676441326179124,0.02644811769219433,0.2280173464809888,0.3314583902498214
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,0,all,female,Y025_049,448,814,402.311113946377,0.29646939691764784,0.02238947696342438,0.25453698817816245,0.3421392644577671
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,1,all,female,Y025_049,475,958,481.0350762967344,0.4089516231448208,0.02201595162157195,0.3666019207943465,0.4526970186483524
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,0,female,Y025_049,604,1771,882.2513680532462,0.3559865100141944,0.01702850752743558,0.32335302961003715,0.39001511236794034
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,1,female,Y025_049,1,1,1,1,0,NA,NA
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,all,female,Y025_049,604,1772,882.651281200601,0.35615094758868815,0.01702498348309031,0.3235231342953291,0.3901714277489308
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,0,all,all,all,female,Y015_019,162,207,105.60043185968284,0.08453717887079676,0.02187035909204981,0.05039672261763032,0.13843393770815637
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,1,all,all,all,female,Y015_019,204,264,134.1316824980842,0.04126858455112122,0.01324210470662193,0.0218494815587098,0.07659525801816638
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,0,all,all,female,Y015_019,293,459,238.18620848053908,0.05885566656415708,0.01223790677420971,0.03897683018865938,0.0879452435250808
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,1,all,all,female,Y015_019,12,12,4.049097402887621,0.10537808855597848,0.09669207543182629,0.01553363465267212,0.4678940275141732
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,0,all,female,Y015_019,211,277,136.6997978394294,0.04436758767316083,0.01337799376048244,0.02440445212445755,0.0793328883786905
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,1,all,female,Y015_019,156,194,103.60212429658829,0.08338275910564312,0.02238320146973115,0.04874216653070983,0.1390436143266978
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,0,female,Y015_019,295,470,239.05281496613097,0.06035164512444935,0.01227805255056269,0.04032332154243066,0.08940117713292012
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,1,female,Y015_019,1,1,1,0,0,NA,NA
ZAF,prevalence,ZAF2016DHS,CY2016Q3,South Africa,all,all,all,all,all,female,Y015_019,296,471,239.7283710411267,0.06024323635206873,0.01225489474548629,0.04025271441830546,0.08923846101351476
