iso3,indicator,survey_id,survey_mid_calendar_quarter,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y015_049,498,2286,1407.5739703812508,0.1355190365613012,0.00887740099787628,0.1190418663597029,0.15387852142720349
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y015_049,288,578,392.3760986409555,0.12373054680357558,0.01472109074041645,0.09764364200059653,0.15558525645232146
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y015_049,382,988,671.941422320003,0.1421168130067841,0.01263232993098241,0.11910905959475727,0.1687176487734487
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y015_049,491,1876,1130.7681804731403,0.12852053153786222,0.00951737957931615,0.11099178859982264,0.1483555940433677
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y015_049,499,2455,1518.7228116927,0.12735552939094325,0.00824239111402879,0.1120563890701456,0.14440377634210186
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y015_049,245,409,278.73510980136234,0.16775398827572702,0.02008602572208105,0.13197488275434935,0.2108765238687959
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y015_049,502,2864,1795.844921547259,0.1331819407851074,0.00794763993868115,0.11836090372150884,0.14954405909793334
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y015_049,502,2864,1795.844921547259,0.1331819407851074,0.00794763993868115,0.11836090372150884,0.14954405909793334
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y015_024,403,877,522.4474374165793,0.11085471672373914,0.01228243507143624,0.08897021820687245,0.1373109302206868
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y015_024,217,359,229.70510241387265,0.04254263083854064,0.01094864982434975,0.0255658936319547,0.06998294371332571
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y015_024,284,559,374.26651137312734,0.06446361449624102,0.01185087885429907,0.04478071953529584,0.0919649933566531
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y015_024,358,677,381.8457888007523,0.11316121778181204,0.01415923209034868,0.08823474269842704,0.14401718920842693
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y015_024,417,1036,609.5953822444665,0.08857309438562051,0.00979179155799791,0.07116601152743153,0.10973489858313767
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y015_024,147,200,145.69680007504624,0.10322052981826214,0.02645466086948227,0.06168269531941373,0.16773023445514296
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y015_024,436,1236,751.407621415692,0.09098305064706697,0.00908857744263886,0.07466989397879072,0.11043480464436396
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y015_024,436,1236,751.407621415692,0.09098305064706697,0.00908857744263886,0.07466989397879072,0.11043480464436396
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y025_049,457,1409,885.9153190072888,0.15079021726893976,0.01133950881781157,0.12988471312123487,0.174386181940575
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y025_049,164,219,167.8144813950739,0.26460672894058046,0.03402349784559048,0.20345241132620984,0.33638033435625886
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y025_049,271,429,298.5641584837153,0.24688960656743808,0.02384831372448538,0.20316026996742612,0.29652878718984604
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y025_049,445,1199,751.2145135446266,0.1370960293685513,0.01170284342127767,0.11572920455860256,0.16168644772876245
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y025_049,460,1419,912.0452035047482,0.15568184085142212,0.01149585442945567,0.13445514619436422,0.17956442172456874
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y025_049,162,209,133.904877873769,0.23056395863883752,0.03156120184645552,0.1745355035373683,0.2980834612830173
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y025_049,468,1628,1045.9450339332143,0.16532337873952227,0.01115319634100503,0.14460525054729503,0.1883562420220743
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y025_049,468,1628,1045.9450339332143,0.16532337873952227,0.01115319634100503,0.14460525054729503,0.1883562420220743
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y015_019,204,270,183.01531640638623,0.04680455181312199,0.01480385981521531,0.02498448660614084,0.08600019959363607
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y015_019,187,275,171.02111435897078,0.02770066919585516,0.01079713367043406,0.01281900647909942,0.05882900472960434
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y015_019,236,370,240.4662514439053,0.02379494674107399,0.00854899071998584,0.01170998076877406,0.04774928850889545
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y015_019,152,175,111.79026426600272,0.0652963808151483,0.02019404521631211,0.03523684068378588,0.1178660326384961
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y015_019,278,450,282.473996759748,0.04192633647879802,0.00994594732682577,0.02622905345268716,0.06637759126541744
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y015_019,81,95,73.27561936627693,0.01156869923078197,0.01146331666376828,0.00163797244491528,0.07706032877604427
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y015_019,310,545,352.25203915803405,0.03689676053205051,0.00883232752847913,0.02299564500328551,0.05869639310974602
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y015_019,310,545,352.25203915803405,0.03689676053205051,0.00883232752847913,0.02299564500328551,0.05869639310974602
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y020_024,342,607,346.0684311668448,0.13730928051445704,0.01698613988293834,0.1072759482610556,0.17411095903463672
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y020_024,72,84,59.4770911386081,0.09158472411033756,0.03195945821897625,0.04533237126122969,0.17631261941764848
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y020_024,140,189,133.83377339577822,0.1389964101016661,0.03080619473375053,0.08881667848128622,0.2109628288055341
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y020_024,299,502,273.14035339036263,0.12908337013542062,0.01818930004468363,0.09742199773257468,0.16910656424399245
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y020_024,329,586,329.56129598376,0.12376178768800183,0.01616073942480029,0.09540481503230792,0.15906516848314145
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y020_024,86,105,74.64597513632681,0.1733789829114428,0.04620692446106164,0.10031114717035328,0.2829326682881755
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y020_024,360,691,403.02588674549605,0.13188233423791762,0.01550449267863665,0.10434605439614608,0.1653437947177306
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y020_024,360,691,403.02588674549605,0.13188233423791762,0.01550449267863665,0.10434605439614608,0.1653437947177306
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y025_029,299,474,299.42293826699205,0.14390177510213625,0.01772837041746664,0.11251502184596704,0.1822460972372474
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y025_029,49,53,41.65100641462767,0.2642182937106195,0.07118601344824001,0.14907963351736295,0.4239747083838395
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y025_029,105,120,91.0844525000369,0.23200453623424463,0.04220170918884301,0.15959480758041544,0.32457887599953944
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y025_029,272,407,250.8921433399628,0.13330696759163946,0.01848997761394764,0.10104240815084686,0.17388135925917342
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y025_029,292,461,290.9245825244245,0.14732893415049467,0.01893292366220099,0.11394164309014394,0.18841902342419917
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y025_029,63,66,48.772128908591235,0.21139317167429103,0.05029881508638566,0.12921567823366115,0.32625227290740155
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y025_029,316,527,338.8680789039922,0.155416112608967,0.01800074740231498,0.12330267431003653,0.19404212740149487
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y025_029,316,527,338.8680789039922,0.155416112608967,0.01800074740231498,0.12330267431003653,0.19404212740149487
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y030_034,244,338,198.7910851108589,0.16928700824854723,0.02388109775852613,0.12746923681451353,0.22134340374629005
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y030_034,45,50,37.51233270763892,0.2758784192321886,0.0676186738601224,0.1640476875237154,0.42517038224521986
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y030_034,93,107,61.94997147964542,0.234447213778282,0.04549902797579393,0.15706593130064744,0.3348093707274547
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,1,all,all,female,Y030_034,216,281,169.84067343569924,0.1604881555932221,0.02571432749908304,0.1162253703816434,0.217460027383234
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,0,all,female,Y030_034,238,331,203.63705353984852,0.17536315805649835,0.02427931489186532,0.1327165275098224,0.22810935086120873
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,1,all,female,Y030_034,53,57,30.66855953256144,0.2076881577121457,0.06058505286458016,0.11299244025246724,0.3503952963778463
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,0,female,Y030_034,265,388,231.73943249210876,0.18074151193564467,0.02264963356857684,0.14050150081998147,0.22942998928437505
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,all,all,all,female,Y030_034,265,388,231.73943249210876,0.18074151193564467,0.02264963356857684,0.14050150081998147,0.22942998928437505
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,0,all,all,all,female,Y035_039,190,246,173.87487157194687,0.15280526027813462,0.02229158149630901,0.11402597696788992,0.20176953541852344
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,1,all,all,all,female,Y035_039,31,31,24.20793361867439,0.2834579575431587,0.09179998286930156,0.14024899286759362,0.4896208011460363
MWI,prevalence,MWI2004DHS,CY2004Q4,Malawi,all,all,0,all,all,female,Y035_039,61,63,44.371810257231786,0.2813333031531192,0.06310854652822535,0.17514017925347508,0.4191926805791339
